Player,Cost,Sel.,Form,Pts.
"Haaland
MCIFWD",12.2,83.6%,11.0,117
"Kane
TOTFWD",11.5,23.3%,6.4,82
"De Bruyne
MCIMID",12.3,31.3%,6.2,70
"Toney
BREFWD",7.5,28.2%,4.4,69
"Almirón
NEWMID",5.4,16.1%,9.0,67
"Trossard
BHAMID",6.8,18.1%,6.8,66
"Trippier
NEWDEF",5.8,60.5%,6.2,66
"Cancelo
MCIDEF",7.4,55.6%,5.8,65
"Foden
MCIMID",8.4,27.8%,8.2,65
"Saka
ARSMID",8.0,16.2%,6.8,64
"Martinelli
ARSMID",6.8,48.8%,5.2,60
"Mitrović
FULFWD",6.8,26.7%,3.8,60
"Henderson
NFOGKP",4.7,12.2%,5.4,60
"Firmino
LIVFWD",8.1,9.1%,4.8,59
"Maddison
LEIMID",8.2,9.3%,5.8,58
"Salah
LIVMID",12.8,31.8%,4.0,58
"Bernardo
MCIMID",6.9,9.0%,4.8,58
"Alisson
LIVGKP",5.4,15.5%,7.4,57
"Jesus
ARSFWD",8.0,59.0%,4.2,56
"Pope
NEWGKP",5.3,20.3%,3.6,56
"Sá
WOLGKP",5.1,7.1%,3.8,56
"Xhaka
ARSMID",5.1,3.9%,6.0,55
"Saliba
ARSDEF",5.2,31.8%,2.2,53
"Raya
BREGKP",4.6,8.0%,5.6,53
"Groß
BHAMID",5.6,15.1%,2.0,52
"Schär
NEWDEF",4.9,12.3%,4.6,52
"Iwobi
EVEMID",5.5,1.5%,6.0,51
"Castagne
LEIDEF",4.5,5.0%,7.8,51
"Rodrigo
LEEMID",6.3,5.8%,2.6,51
"Lloris
TOTGKP",5.5,5.7%,4.8,51
"Son
TOTMID",11.7,10.2%,3.0,51
"Zaha
CRYMID",7.6,23.0%,3.8,50
"Andreas
FULMID",4.6,25.5%,5.2,50
"Rashford
MUNMID",6.6,15.7%,2.0,50
"Mac Allister
BHAMID",5.5,5.0%,2.0,49
"Eze
CRYMID",5.7,4.8%,5.4,49
"Højbjerg
TOTMID",5.5,2.9%,3.2,49
"Ødegaard
ARSMID",6.4,13.1%,3.5,48
"White
ARSDEF",4.6,7.5%,4.5,47
"Billing
BOUMID",5.3,1.3%,4.4,47
"Mount
CHEMID",7.7,10.4%,6.6,47
"Dier
TOTDEF",5.3,11.3%,2.8,47
"Fabianski
WHUGKP",5.0,1.5%,5.4,47
"Gabriel
ARSDEF",5.1,10.3%,3.2,46
"Martínez
AVLGKP",4.9,5.2%,3.6,46
"Solanke
BOUFWD",5.8,3.3%,5.0,44
"Coady
EVEDEF",4.9,6.3%,3.8,44
"Ederson
MCIGKP",5.4,13.6%,3.8,44
"Sterling
CHEMID",9.8,5.8%,1.8,43
"Barnes
LEIMID",6.9,1.7%,5.8,43
"Dewsbury-Hall
LEIMID",5.0,1.0%,4.6,43
"Zouma
WHUDEF",4.5,1.8%,5.0,43
"De Cordova-Reid
FULMID",5.5,0.2%,4.2,42
"Harrison
LEEMID",5.9,2.7%,2.6,42
"Van Dijk
LIVDEF",6.5,15.1%,3.8,42
"Tielemans
LEIMID",6.3,1.5%,3.6,41
"Bowen
WHUMID",8.2,5.0%,5.2,41
"Ramsdale
ARSGKP",4.9,10.5%,3.8,40
"Watkins
AVLFWD",7.2,1.9%,2.8,40
"Mee
BREDEF",4.5,4.1%,4.0,40
"Sánchez
BHAGKP",4.7,13.7%,2.4,40
"Reed
FULMID",4.5,1.3%,3.8,40
"Ward
LEIGKP",4.1,26.1%,6.4,40
"Dalot
MUNDEF",4.7,10.3%,3.4,40
"Fernandes
MUNMID",9.8,2.4%,3.6,40
"Sancho
MUNMID",7.2,4.6%,2.4,40
"Burn
NEWDEF",4.5,1.7%,4.2,40
"Botman
NEWDEF",4.4,2.3%,4.6,40
"Bailey
AVLMID",4.6,4.5%,3.4,39
"Jensen
BREMID",4.9,1.9%,2.4,39
"Pickford
EVEGKP",4.5,5.3%,2.8,39
"Luis Díaz
LIVMID",7.9,8.1%,1.4,39
"Bruno Guimarães
NEWMID",5.7,5.3%,6.0,39
"Perišić
TOTDEF",5.5,23.8%,2.4,39
"Rice
WHUMID",4.8,4.2%,3.8,39
"March
BHAMID",5.0,0.5%,3.6,38
"Dias
MCIDEF",5.9,8.4%,2.5,38
"Adams
SOUFWD",6.4,0.9%,3.2,38
"Soucek
WHUMID",5.3,1.0%,3.0,38
"Neves
WOLMID",5.5,1.6%,3.0,38
"Podence
WOLMID",5.4,1.0%,2.0,38
"Veltman
BHADEF",4.7,4.3%,2.2,37
"De Gea
MUNGKP",4.9,6.2%,3.2,37
"Kilman
WOLDEF",4.6,3.0%,1.8,37
"Mykolenko
EVEDEF",4.5,0.7%,3.2,36
"Justin
LEIDEF",4.3,2.1%,5.2,36
"Vardy
LEIFWD",9.1,2.0%,3.6,36
"Lerma
BOUMID",4.9,0.6%,2.8,35
"Henry
BREDEF",4.5,1.2%,3.6,35
"Dunk
BHADEF",4.7,5.4%,2.6,35
"Welbeck
BHAFWD",6.5,1.3%,2.6,35
"Jorginho
CHEMID",5.9,2.5%,3.0,35
"Guaita
CRYGKP",4.5,3.0%,4.0,35
"Gordon
EVEMID",5.4,2.2%,2.2,35
"Meslier
LEEGKP",4.5,2.4%,3.6,35
"Gündogan
MCIMID",7.3,2.3%,1.0,35
"Ward-Prowse
SOUMID",6.3,5.7%,2.2,35
"Bentancur
TOTMID",5.4,0.5%,2.6,35
"Young
AVLDEF",4.4,1.3%,5.4,34
"Janelt
BREMID",5.5,0.1%,2.4,34
